Net	#1#_freq	Tot_patient_with_at_least_one_mut
ARACNeNet1	24	453
ARACNeNet10	55	453
ARACNeNet11	54	453
ARACNeNet12	70	453
ARACNeNet13	54	453
ARACNeNet14	66	453
ARACNeNet15	41	453
ARACNeNet16	59	453
ARACNeNet17	72	453
ARACNeNet18	70	453
ARACNeNet19	52	453
ARACNeNet2	48	453
ARACNeNet20	85	453
ARACNeNet21	48	453
ARACNeNet22	89	453
ARACNeNet23	84	453
ARACNeNet24	59	453
ARACNeNet25	73	453
ARACNeNet26	79	453
ARACNeNet27	54	453
ARACNeNet28	65	453
ARACNeNet29	57	453
ARACNeNet3	80	453
ARACNeNet30	52	453
ARACNeNet31	80	453
ARACNeNet32	49	453
ARACNeNet33	63	453
ARACNeNet34	89	453
ARACNeNet35	77	453
ARACNeNet36	48	453
ARACNeNet37	61	453
ARACNeNet38	81	453
ARACNeNet39	59	453
ARACNeNet4	67	453
ARACNeNet40	50	453
ARACNeNet41	54	453
ARACNeNet42	40	453
ARACNeNet43	48	453
ARACNeNet44	54	453
ARACNeNet45	49	453
ARACNeNet46	98	453
ARACNeNet47	78	453
ARACNeNet48	44	453
ARACNeNet5	54	453
ARACNeNet6	47	453
ARACNeNet7	38	453
ARACNeNet8	56	453
ARACNeNet9	20	453
