Random	#1#_freq	Tot_patient_with_at_least_one_mut
R1	78	453
R10	81	453
R100	70	453
R1000	66	453
R101	59	453
R102	87	453
R103	48	453
R104	69	453
R105	57	453
R106	73	453
R107	68	453
R108	155	453
R109	73	453
R11	61	453
R110	57	453
R111	42	453
R112	55	453
R113	53	453
R114	61	453
R115	59	453
R116	77	453
R117	72	453
R118	63	453
R119	63	453
R12	65	453
R120	55	453
R121	57	453
R122	51	453
R123	68	453
R124	49	453
R125	70	453
R126	85	453
R127	75	453
R128	73	453
R129	64	453
R13	69	453
R130	61	453
R131	74	453
R132	57	453
R133	45	453
R134	65	453
R135	87	453
R136	54	453
R137	58	453
R138	60	453
R139	99	453
R14	55	453
R140	63	453
R141	73	453
R142	59	453
R143	57	453
R144	60	453
R145	56	453
R146	80	453
R147	61	453
R148	88	453
R149	67	453
R15	72	453
R150	67	453
R151	62	453
R152	50	453
R153	64	453
R154	52	453
R155	50	453
R156	61	453
R157	56	453
R158	70	453
R159	68	453
R16	55	453
R160	47	453
R161	58	453
R162	55	453
R163	45	453
R164	68	453
R165	91	453
R166	95	453
R167	58	453
R168	79	453
R169	95	453
R17	66	453
R170	85	453
R171	76	453
R172	64	453
R173	67	453
R174	62	453
R175	67	453
R176	59	453
R177	67	453
R178	65	453
R179	69	453
R18	63	453
R180	91	453
R181	78	453
R182	58	453
R183	54	453
R184	85	453
R185	62	453
R186	68	453
R187	60	453
R188	59	453
R189	58	453
R19	85	453
R190	48	453
R191	60	453
R192	85	453
R193	63	453
R194	62	453
R195	68	453
R196	65	453
R197	72	453
R198	53	453
R199	60	453
R2	51	453
R20	98	453
R200	65	453
R201	61	453
R202	62	453
R203	48	453
R204	62	453
R205	78	453
R206	61	453
R207	61	453
R208	50	453
R209	55	453
R21	60	453
R210	177	453
R211	73	453
R212	61	453
R213	84	453
R214	77	453
R215	67	453
R216	67	453
R217	57	453
R218	68	453
R219	70	453
R22	63	453
R220	46	453
R221	77	453
R222	51	453
R223	79	453
R224	56	453
R225	76	453
R226	57	453
R227	81	453
R228	74	453
R229	79	453
R23	58	453
R230	60	453
R231	67	453
R232	52	453
R233	58	453
R234	76	453
R235	71	453
R236	57	453
R237	59	453
R238	101	453
R239	69	453
R24	69	453
R240	61	453
R241	69	453
R242	78	453
R243	61	453
R244	52	453
R245	58	453
R246	72	453
R247	63	453
R248	61	453
R249	64	453
R25	68	453
R250	62	453
R251	62	453
R252	79	453
R253	61	453
R254	76	453
R255	91	453
R256	48	453
R257	59	453
R258	65	453
R259	49	453
R26	68	453
R260	67	453
R261	89	453
R262	170	453
R263	55	453
R264	69	453
R265	69	453
R266	86	453
R267	76	453
R268	63	453
R269	62	453
R27	63	453
R270	57	453
R271	52	453
R272	65	453
R273	87	453
R274	70	453
R275	110	453
R276	69	453
R277	79	453
R278	72	453
R279	54	453
R28	61	453
R280	70	453
R281	57	453
R282	78	453
R283	61	453
R284	69	453
R285	59	453
R286	59	453
R287	65	453
R288	50	453
R289	84	453
R29	65	453
R290	60	453
R291	70	453
R292	69	453
R293	53	453
R294	61	453
R295	59	453
R296	85	453
R297	75	453
R298	98	453
R299	58	453
R3	55	453
R30	52	453
R300	56	453
R301	80	453
R302	64	453
R303	52	453
R304	70	453
R305	67	453
R306	61	453
R307	64	453
R308	75	453
R309	153	453
R31	53	453
R310	63	453
R311	70	453
R312	57	453
R313	55	453
R314	82	453
R315	68	453
R316	71	453
R317	69	453
R318	66	453
R319	58	453
R32	65	453
R320	96	453
R321	80	453
R322	45	453
R323	68	453
R324	66	453
R325	72	453
R326	49	453
R327	67	453
R328	82	453
R329	90	453
R33	71	453
R330	68	453
R331	57	453
R332	72	453
R333	45	453
R334	68	453
R335	77	453
R336	72	453
R337	61	453
R338	58	453
R339	60	453
R34	64	453
R340	73	453
R341	71	453
R342	74	453
R343	55	453
R344	70	453
R345	59	453
R346	67	453
R347	82	453
R348	73	453
R349	178	453
R35	58	453
R350	50	453
R351	56	453
R352	71	453
R353	68	453
R354	66	453
R355	67	453
R356	77	453
R357	61	453
R358	61	453
R359	81	453
R36	47	453
R360	53	453
R361	55	453
R362	71	453
R363	69	453
R364	67	453
R365	74	453
R366	69	453
R367	58	453
R368	64	453
R369	63	453
R37	85	453
R370	65	453
R371	61	453
R372	62	453
R373	63	453
R374	60	453
R375	69	453
R376	53	453
R377	69	453
R378	79	453
R379	61	453
R38	87	453
R380	71	453
R381	60	453
R382	70	453
R383	68	453
R384	64	453
R385	65	453
R386	58	453
R387	88	453
R388	64	453
R389	54	453
R39	64	453
R390	56	453
R391	53	453
R392	71	453
R393	50	453
R394	52	453
R395	64	453
R396	62	453
R397	48	453
R398	65	453
R399	65	453
R4	79	453
R40	69	453
R400	73	453
R401	80	453
R402	165	453
R403	63	453
R404	58	453
R405	59	453
R406	75	453
R407	65	453
R408	66	453
R409	84	453
R41	51	453
R410	72	453
R411	51	453
R412	67	453
R413	62	453
R414	66	453
R415	71	453
R416	62	453
R417	79	453
R418	52	453
R419	61	453
R42	69	453
R420	72	453
R421	57	453
R422	64	453
R423	68	453
R424	73	453
R425	82	453
R426	61	453
R427	67	453
R428	70	453
R429	77	453
R43	75	453
R430	71	453
R431	72	453
R432	79	453
R433	78	453
R434	62	453
R435	71	453
R436	53	453
R437	63	453
R438	68	453
R439	51	453
R44	58	453
R440	96	453
R441	61	453
R442	65	453
R443	42	453
R444	75	453
R445	61	453
R446	113	453
R447	66	453
R448	75	453
R449	69	453
R45	52	453
R450	69	453
R451	52	453
R452	64	453
R453	71	453
R454	58	453
R455	71	453
R456	74	453
R457	67	453
R458	79	453
R459	70	453
R46	67	453
R460	69	453
R461	58	453
R462	72	453
R463	56	453
R464	59	453
R465	55	453
R466	69	453
R467	52	453
R468	62	453
R469	58	453
